  Ref #,Carrier,Service Level,Tracking #,Status,Ship Date,Location,To ID,To Company,Discounted Cost,Published Cost,Marked Up Cost,Payment Type,Shipment Type,Delivery Status,Last Updated By,Last Updated Date,Comments
7070-5-1-1-1,FedEx,Fedex Ground,794612691162,canceled,2025-09-17 12:46:00,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,88.82,88.82,106.58,sender,Outbound,canceled,Srikanth Bandi,2025-09-17 13:01:40,0
901-14,Unknown,Unknown,Unknown,draft,2025-09-17 12:40:41,NA Spare Parts,Unknown,Unknown,0.0,0.0,0.0,sender,Outbound,pending,Srikanth Bandi,2025-09-17 12:40:46,0
902-14,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-17 12:42:41,NA Spare Parts,AID672847499,Deutsches Museum,508.17,513.3,609.8,sender,Outbound,shipped,Srikanth Bandi,2025-09-17 12:42:55,0
7070-5-1-1,FedEx,Fedex Ground,794612588520,shipped,2025-09-16 13:18:32,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,88.82,88.82,106.58,sender,Outbound,shipped,Srikanth Bandi,2025-09-16 13:24:41,0
7070-5-1,FedEx,Fedex Ground,794612587351,shipped,2025-09-16 13:14:32,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,88.82,88.82,106.58,sender,Outbound,shipped,Srikanth Bandi,2025-09-16 13:17:40,0
Unknown,DHL,ECONOMY SELECT DOMESTIC(DES),Unknown,draft,2025-09-15 13:46:10,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,pending,Srikanth Bandi,2025-09-15 13:47:45,0
500004|500006|500007,Unknown,Unknown,Unknown,draft,2025-09-11 01:27:52,Unknown,WM01,WAL-MART DC,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-11 02:23:27,0
500007,Unknown,Unknown,Unknown,canceled,2025-09-11 02:21:37,Unknown,WM01,WAL-MART DC,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-09-11 02:21:56,0
500006,Unknown,Unknown,Unknown,canceled,2025-09-11 01:32:24,Unknown,WM01,WAL-MART DC,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-09-11 01:32:28,0
500004,Unknown,Unknown,Unknown,canceled,2025-09-11 01:27:52,Unknown,WM01,WAL-MART DC,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-09-11 01:28:17,0
Test-1-1-1-1,Unknown,Unknown,794611881745,shipped,2025-09-11 01:17:43,Unknown,WM01,WAL-MART DC,475.49,595.89,570.59,sender,Outbound,shipped,Unknown User,2025-09-11 01:18:41,0
Test-1-1-1,Unknown,Unknown,794611881594,shipped,2025-09-11 01:17:37,Unknown,WM01,WAL-MART DC,475.49,595.89,570.59,sender,Outbound,shipped,Unknown User,2025-09-11 01:18:42,0
Test-1-1,Unknown,Unknown,794611881892,shipped,2025-09-11 01:17:32,Unknown,WM01,WAL-MART DC,475.49,595.89,570.59,sender,Outbound,shipped,Unknown User,2025-09-11 01:18:41,0
Test-1,FedEx,FedEx 2 Day,794611881344,shipped,2025-09-11 01:14:57,NA Spare Parts,WM01,WAL-MART DC,475.49,595.89,570.59,sender,Outbound,shipped,Bhavana Musuluri,2025-09-11 01:15:10,0
Test,FedEx,FedEx 2 Day,794611881149,shipped,2025-09-11 01:05:16,NA Spare Parts,WM01,WAL-MART DC,475.49,595.89,570.59,sender,Outbound,shipped,Bhavana Musuluri,2025-09-11 01:12:30,0
905,CloudLeap Truck,Standard,Unknown,draft,2025-09-16 02:55:35,NA Spare Parts,AID752821231,Knightriders,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-09-16 12:40:26,0
905,UPS,UPS Ground,Unknown,draft,2025-10-13 06:45:41,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-10-13 16:15:46,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-16 04:45:08,NA Spare Parts,AID672847499,Deutsches Museum,508.17,513.3,609.8,sender,Outbound,shipped,Pritesh Shah,2025-09-16 14:15:23,0
901,SAIA,Standard,999999999993,shipped,2025-09-16 03:18:08,NA Spare Parts,105900,Paccable Corp.,691.37,6635.3,829.64,sender,Outbound,shipped,Pritesh Shah,2025-09-16 12:50:18,0
900,FedEx,FedEx 2 Day,Unknown,draft,2025-09-10 11:21:21,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-09-10 20:51:25,0
7070-6,Unknown,Unknown,Unknown,draft,2025-09-10 13:48:03,Unknown,Unknown,Wall Street Ferry Pier 11,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-10 13:48:04,0
Unknown,FedEx,FedEx 2 Day,794611723945,shipped,2025-09-10 11:50:20,NA Spare Parts,AID2099632640,Nachos Inc.,96.33,96.33,115.6,sender,Outbound,shipped,Srikanth Bandi,2025-09-10 11:54:42,0
7070-5,FedEx,Fedex Ground,794611721471,shipped,2025-09-10 11:44:54,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,88.82,88.82,106.58,sender,Outbound,shipped,Srikanth Bandi,2025-09-10 11:50:19,0
Unknown,Unknown,Unknown,Unknown,draft,2025-09-10 11:42:17,Unknown,Unknown,Cloudleap,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-10 11:42:18,0
600003-1,DHL,EXPRESS WORLDWIDE(WPX),8511995903,shipped,2025-09-08 22:28:50,NA Spare Parts,AID672847499,Deutsches Museum,144.88,144.88,173.86,sender,Outbound,shipped,Bhavana Musuluri,2025-09-08 22:29:36,0
63-1,Unknown,Unknown,Unknown,draft,2025-09-08 12:57:45,Unknown,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-08 22:27:45,0
62-1,Unknown,Unknown,Unknown,draft,2025-09-08 12:57:42,Unknown,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-08 22:27:42,0
61-1,Unknown,Unknown,Unknown,draft,2025-09-08 12:57:38,Unknown,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-08 22:27:38,0
60-1,Unknown,Unknown,Unknown,draft,2025-09-08 12:57:35,Unknown,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-08 22:27:35,0
500001,ABF,Standard,069989103,shipped,2025-09-11 02:09:33,NA Spare Parts,Unknown,Dental Delights,1147.94,1147.94,1377.53,sender,Outbound,shipped,Bhavana Musuluri,2025-09-11 02:13:15,0
500002,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-11 02:03:20,NA Spare Parts,WM01,WAL-MART DC,89.24,137.64,107.09,sender,Outbound,shipped,Bhavana Musuluri,2025-09-11 02:03:47,0
500003,UPS,UPS Worldwide Express,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-11 02:18:13,NA Spare Parts,AID672847499,Deutsches Museum,531.91,537.28,638.29,sender,Outbound,shipped,Bhavana Musuluri,2025-09-11 02:19:31,0
60,FedEx,FedEx 2 Day,794611074351,canceled,2025-09-05 11:23:35,NA Spare Parts,Unknown,ADAMS CO.,115.56,115.56,138.67,sender,Outbound,shipped,Pranav Kode,2025-09-05 20:54:41,0
902-13,Unknown,Unknown,Unknown,draft,2025-09-05 10:24:20,Unknown,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-05 19:54:21,0
901,SAIA,Standard,999999999993,shipped,2025-09-05 10:27:58,NA Spare Parts,105900,Paccable Corp.,689.61,6633.54,827.53,sender,Outbound,shipped,Pritesh Shah,2025-09-05 19:59:21,0
900,FedEx,FedEx 2 Day,794611071043,shipped,2025-09-05 10:25:22,NA Spare Parts,Unknown,ADAMS CO.,192.78,192.78,231.34,sender,Outbound,shipped,Pritesh Shah,2025-09-05 19:56:20,0
800006,FedEx,FedEx International Economy,794610918820,shipped,2025-09-05 01:13:36,NA Spare Parts,AID672847499,Deutsches Museum,404.25,404.25,485.1,sender,Outbound,shipped,Bhavana Musuluri,2025-09-05 01:14:28,0
800007,FedEx,Fedex Ground,794610918750,shipped,2025-09-05 01:01:18,NA Spare Parts,Unknown,Dental Delights,175.55,175.55,210.66,sender,Outbound,shipped,Bhavana Musuluri,2025-09-05 01:12:16,0
50002-1-1,Unknown,Unknown,Unknown,draft,2025-09-04 23:06:26,Unknown,Unknown,Shipping Department,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-09-04 23:06:27,0
50002-1,DHL,EXPRESS WORLDWIDE(WPX),8432713704,shipped,2025-09-04 23:05:47,NA Spare Parts,Unknown,Shipping Department,100.62,100.62,120.74,sender,Outbound,shipped,Piyovi Dev,2025-09-04 23:05:57,0
903,UPS,UPS Ground,Unknown,draft,2025-09-03 13:18:32,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-09-03 22:48:45,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-03 14:08:44,NA Spare Parts,AID672847499,Deutsches Museum,507.14,512.26,608.57,sender,Outbound,shipped,Pritesh Shah,2025-09-03 23:39:12,0
901,SAIA,Standard,999999999993,shipped,2025-09-03 14:04:29,NA Spare Parts,105900,Paccable Corp.,689.61,6633.54,827.53,sender,Outbound,shipped,Pritesh Shah,2025-09-03 23:37:49,0
900,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-03 13:58:22,NA Spare Parts,Unknown,ADAMS CO.,174.81,181.38,209.77,sender,Outbound,shipped,Pritesh Shah,2025-09-03 23:30:26,0
61,SAIA,Standard,999999999993,canceled,2025-09-05 11:25:25,NA Spare Parts,105900,Paccable Corp.,554.11,6498.04,664.93,sender,Outbound,shipped,Pranav Kode,2025-09-05 20:58:49,0
62,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,canceled,2025-09-05 11:30:54,NA Spare Parts,AID672847499,Deutsches Museum,507.14,512.26,608.57,sender,Outbound,shipped,Pranav Kode,2025-09-05 21:01:24,0
902-12,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,canceled,2025-09-03 11:17:25,NA Spare Parts,AID672847499,Deutsches Museum,507.14,512.26,608.57,sender,Outbound,shipped,Pranav Kode,2025-09-03 20:47:55,0
63,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,canceled,2025-09-05 11:32:03,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pranav Kode,2025-09-05 21:02:54,0
83,RL,Standard,WY0629811,shipped,2025-09-03 09:13:21,NA Spare Parts,100200,Surf Assembly,1330.75,3176.23,1596.9,sender,Outbound,shipped,Pritesh Shah,2025-09-03 18:45:07,0
900,FedEx,FedEx Express Saver,794610593571,shipped,2025-09-02 10:50:44,NA Spare Parts,Unknown,ADAMS CO.,151.59,151.59,181.91,sender,Outbound,shipped,Pritesh Shah,2025-09-02 20:22:29,0
903,UPS,UPS Ground,Unknown,draft,2025-09-02 10:33:38,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-09-02 20:03:47,0
902,UPS,UPS Worldwide Saver,Unknown,draft,2025-09-02 10:33:26,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-09-02 20:03:33,0
901,SAIA,Standard,999999999993,shipped,2025-09-02 10:54:14,NA Spare Parts,105900,Paccable Corp.,554.11,6498.04,664.93,sender,Outbound,shipped,Pritesh Shah,2025-09-02 20:25:20,0
800007,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-02 16:21:19,NA Spare Parts,Unknown,Dental Delights,144.07,198.28,172.88,sender,Outbound,shipped,Bhavana Musuluri,2025-09-02 16:30:47,0
800008,FedEx,FedEx International Economy,794610581876,canceled,2025-09-02 16:40:35,NA Spare Parts,AID672847499,Deutsches Museum,404.25,404.25,485.1,sender,Outbound,shipped,Bhavana Musuluri,2025-09-02 16:43:49,0
800008,FedEx,FedEx International Economy,794610555228,shipped,2025-09-02 13:06:14,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,shipped,Bhavana Musuluri,2025-09-02 13:07:22,0
800010,ABF,Standard,069988092,shipped,2025-09-02 16:32:19,NA Spare Parts,AID672847499,Dental Delights,1130.53,1130.53,1356.64,sender,Outbound,shipped,Bhavana Musuluri,2025-09-02 16:35:16,0
800005,ABF,Standard,069988539,shipped,2025-09-05 01:15:21,NA Spare Parts,AID672847499,Dental Delights,1265.9,1265.9,1519.08,sender,Outbound,shipped,Bhavana Musuluri,2025-09-05 01:16:14,0
800007,FedEx,Fedex Ground,794610554736,shipped,2025-09-02 13:02:58,NA Spare Parts,AID672847499,Dental Delights,175.55,175.55,210.66,sender,Outbound,shipped,Bhavana Musuluri,2025-09-02 13:05:12,0
800008,FedEx,FedEx International Economy,Unknown,draft,2025-09-05 00:28:16,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-09-05 00:28:17,0
800010,ABF,Standard,069988749,shipped,2025-09-08 19:16:38,NA Spare Parts,44790,MIDDLE LOUP DAIRY,1082.21,1082.21,1298.65,sender,Outbound,shipped,Bhavana Musuluri,2025-09-08 19:21:26,0
800011,ABF,Standard,Unknown,draft,2025-08-29 19:44:25,NA Spare Parts,AID672847499,Dental Delights,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-08-29 19:44:45,0
800007,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-09-08 19:05:51,NA Spare Parts,AID672847499,Dental Delights,102.12,103.15,122.54,sender,Outbound,shipped,Bhavana Musuluri,2025-09-08 19:15:12,0
903,UPS,UPS Ground,Unknown,draft,2025-08-28 15:53:02,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-29 01:24:34,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-28 16:28:52,NA Spare Parts,AID672847499,Deutsches Museum,506.11,511.22,607.33,sender,Outbound,shipped,Pritesh Shah,2025-08-29 01:59:43,0
901,SAIA,Standard,Unknown,draft,2025-08-28 15:51:15,NA Spare Parts,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-29 01:21:30,0
900,FedEx,FedEx Standard Overnight,794609986945,shipped,2025-08-28 16:13:27,NA Spare Parts,Unknown,ADAMS CO.,377.29,377.29,452.75,sender,Outbound,shipped,Pritesh Shah,2025-08-29 01:44:20,0
83,SAIA,Standard,999999999993,shipped,2025-08-28 16:03:39,NA Spare Parts,100200,Surf Assembly,226.13,2949.72,271.36,sender,Outbound,shipped,Pritesh Shah,2025-08-29 01:37:30,0
Unknown,Unknown,Unknown,Unknown,draft,2025-08-28 14:50:09,NA Spare Parts,Unknown,Unknown,0.0,0.0,0.0,sender,Outbound,pending,Pranav Kode,2025-08-29 00:20:13,0
83,SAIA,Standard,999999999993,canceled,2025-08-28 14:56:22,NA Spare Parts,100200,Surf Assembly,773.18,10923.17,927.82,sender,Outbound,shipped,Pranav Kode,2025-08-29 00:27:00,0
903,UPS,UPS Ground,Unknown,draft,2025-08-28 13:59:08,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-28 23:29:13,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-28 14:29:20,NA Spare Parts,AID672847499,Deutsches Museum,506.11,511.22,607.33,sender,Outbound,shipped,Pritesh Shah,2025-08-28 23:59:53,0
901,SAIA,Standard,999999999993,shipped,2025-08-28 14:09:00,NA Spare Parts,105900,Paccable Corp.,689.61,6633.54,827.53,sender,Outbound,shipped,Pritesh Shah,2025-08-28 23:45:15,0
900,FedEx,FedEx 2 Day,794609982870,shipped,2025-08-28 14:02:44,NA Spare Parts,Unknown,ADAMS CO.,192.78,192.78,231.34,sender,Outbound,shipped,Pritesh Shah,2025-08-28 23:36:12,0
84,FedEx,FedEx 2 Day,794624018513,shipped,2025-11-13 07:49:39,NA Spare Parts,105900,Paccable Corp.,78.71,78.71,89.71,sender,Outbound,shipped,Pranav Kode,2025-11-13 18:20:11,0
83,RL,Standard,Unknown,canceled,2025-08-28 13:54:49,NA Spare Parts,100200,Surf Assembly,0.0,0.0,0.0,sender,Outbound,pending,Pranav Kode,2025-08-28 23:24:54,0
Unknown,FedEx,FedEx Express Saver,794609981884,shipped,2025-08-28 22:56:06,NA Spare Parts,AID449899541,Rogers Corp,127.72,127.72,153.26,sender,Outbound,shipped,Srikanth Bandi,2025-08-28 23:00:17,0
84,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,canceled,2025-08-28 12:05:13,NA Spare Parts,105900,Paccable Corp.,22.97,23.2,27.56,sender,Outbound,shipped,Pranav Kode,2025-08-28 21:35:18,0
83,RL,Standard,WY0132885,canceled,2025-08-28 12:01:16,NA Spare Parts,100200,Surf Assembly,4358.05,10485.4,5229.66,sender,Outbound,shipped,Pranav Kode,2025-08-28 21:33:22,0
800009,Unknown,Unknown,Unknown,draft,2025-09-02 16:56:37,NA Spare Parts,AID672847499,Dental Delights,450.0,450.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-09-02 17:00:46,0
800010,ABF,Standard,069987990,shipped,2025-08-29 19:11:01,NA Spare Parts,AID672847499,Dental Delights,1343.04,1343.04,1611.65,sender,Outbound,shipped,Bhavana Musuluri,2025-08-29 19:12:31,0
800008,FedEx,FedEx International Economy,794610109136,shipped,2025-08-29 19:06:34,NA Spare Parts,AID672847499,Deutsches Museum,404.25,404.25,485.1,sender,Outbound,shipped,Bhavana Musuluri,2025-08-29 19:08:48,0
800007,FedEx,Fedex Ground,794610109044,shipped,2025-08-29 18:57:20,NA Spare Parts,AID672847499,Dental Delights,175.55,175.55,210.66,sender,Outbound,shipped,Bhavana Musuluri,2025-08-29 19:05:19,0
800009-1,Elite Transportation,Spot Quote,20000117563669001,shipped,2025-08-28 12:49:29,NA Spare Parts,AID672847499,Museum of Illusions Doha,3000.0,3000.0,0.0,sender,Outbound,shipped,Bhavana Musuluri,2025-08-28 13:11:43,0
800008,FedEx,Fedex Ground,794609856560,shipped,2025-08-28 12:43:48,NA Spare Parts,Unknown,Dental Delights,175.55,175.55,210.66,sender,Outbound,shipped,Bhavana Musuluri,2025-08-28 12:45:56,0
Unknown,Unknown,Unknown,Unknown,draft,2025-08-28 12:30:06,Unknown,44561,B & B GATES AND SUPPLY,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-08-28 12:30:04,0
800009,UPS,UPS Worldwide Expedited,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-28 12:47:25,NA Spare Parts,AID672847499,Museum of Illusions Doha,597.67,603.71,717.2,sender,Outbound,shipped,Bhavana Musuluri,2025-08-28 12:47:47,0
83-1,Unknown,Unknown,Unknown,draft,2025-08-27 15:09:15,Unknown,100200,Surf Assembly,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-08-28 00:39:16,0
84-1,Unknown,Unknown,Unknown,draft,2025-08-27 15:09:12,Unknown,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-08-28 00:39:12,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-27 16:18:31,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pritesh Shah,2025-08-28 01:50:00,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-27 16:13:31,NA Spare Parts,AID672847499,Deutsches Museum,506.11,511.22,607.33,sender,Outbound,shipped,Pritesh Shah,2025-08-28 01:43:55,0
901,SAIA,Standard,999999999993,shipped,2025-08-27 16:09:42,NA Spare Parts,105900,Paccable Corp.,554.11,6498.04,664.93,sender,Outbound,shipped,Pritesh Shah,2025-08-28 01:40:56,0
900,FedEx,FedEx 2 Day,794609794786,shipped,2025-08-27 16:05:13,NA Spare Parts,Unknown,ADAMS CO.,192.78,192.78,231.34,sender,Outbound,shipped,Pritesh Shah,2025-08-28 01:36:39,0
65,CloudLeap Truck,Pickup,Unknown,draft,2025-09-05 11:12:10,NA Spare Parts,AID1879904350,"Schwartz & Schwartz, PC",0.0,0.0,0.0,sender,Outbound,pending,Pranav Kode,2025-09-05 20:42:23,0
9000,SAIA,Standard,999999999993,shipped,2025-08-27 13:25:38,NA Spare Parts,Unknown,Test,459.3,4254.11,551.16,sender,Outbound,shipped,Pritesh Shah,2025-08-27 23:01:03,0
903,UPS,UPS Ground,Unknown,draft,2025-08-27 12:56:00,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-27 22:26:14,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-27 13:22:38,NA Spare Parts,AID672847499,Deutsches Museum,506.11,511.22,607.33,sender,Outbound,shipped,Pritesh Shah,2025-08-27 22:53:11,0
901,SAIA,Guaranteed by 12 PM,999999999993,shipped,2025-08-27 13:15:09,NA Spare Parts,105900,Paccable Corp.,790.36,6734.29,948.43,sender,Outbound,shipped,Pritesh Shah,2025-08-27 22:47:15,0
900,UPS,UPS 2nd Day Air,Unknown,draft,2025-08-27 12:47:06,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-27 22:17:20,0
Unknown,FedEx,FedEx 2 Day,794609622486,shipped,2025-08-26 22:56:52,NA Spare Parts,44561,B & B GATES AND SUPPLY,60.38,60.38,72.46,sender,Outbound,shipped,Bhavana Musuluri,2025-08-26 23:02:47,0
902-11,Unknown,Unknown,Unknown,draft,2025-08-26 13:11:55,Unknown,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-08-26 22:41:55,0
901,SAIA,Standard,Unknown,draft,2025-08-26 13:12:12,NA Spare Parts,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-26 22:42:15,0
900,UPS,UPS 2nd Day Air,Unknown,draft,2025-08-26 13:12:02,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-08-26 22:42:07,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-26 11:21:49,NA Spare Parts,AID672847499,Deutsches Museum,506.11,511.22,607.33,sender,Outbound,shipped,Pritesh Shah,2025-08-26 20:52:40,0
901,SAIA,Standard,999999999993,shipped,2025-08-26 11:19:33,NA Spare Parts,105900,Paccable Corp.,554.11,6498.04,664.93,sender,Outbound,shipped,Pritesh Shah,2025-08-26 20:50:46,0
900,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-26 11:14:01,NA Spare Parts,Unknown,ADAMS CO.,197.16,203.95,236.59,sender,Outbound,shipped,Pritesh Shah,2025-08-26 20:46:23,0
800008-2-2,UPS,UPS Worldwide Expedited,Unknown,draft,2025-08-26 12:11:38,NA Spare Parts,AID672847499,Museum of Illusions Doha,0.0,0.0,0.0,sender,Outbound,pending,Srikanth Bandi,2025-08-26 12:30:11,0
800008-2-2,UPS,UPS Worldwide Expedited,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-26 13:03:59,NA Spare Parts,AID672847499,Museum of Illusions Doha,352.67,356.23,423.2,sender,Outbound,shipped,Srikanth Bandi,2025-08-26 13:07:22,0
Unknown,Midland Freight,LTL Standard,51041172,shipped,2025-08-26 12:05:11,NA Spare Parts,Unknown,test bandi,45.06,45.06,0.0,sender,Outbound,shipped,Srikanth Bandi,2025-08-26 12:08:04,0
Unknown,FedEx Freight,FedEx Freight Economy,Unknown,draft,2025-08-26 11:57:02,NA Spare Parts,Unknown,Cloudleap,0.0,0.0,0.0,sender,Outbound,pending,Srikanth Bandi,2025-08-26 12:03:18,0
Unknown,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-26 11:48:47,NA Spare Parts,AID1879904350,"Schwartz & Schwartz, PC",143.09,144.54,171.71,sender,Outbound,shipped,Srikanth Bandi,2025-08-26 11:54:01,0
7070-3-1,FedEx,Fedex Ground,Unknown,draft,2025-08-26 11:43:33,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,0.0,0.0,0.0,sender,Outbound,pending,Srikanth Bandi,2025-08-26 11:47:41,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-25 14:59:18,NA Spare Parts,AID672847499,Deutsches Museum,506.11,511.22,607.33,sender,Outbound,shipped,Pritesh Shah,2025-08-26 00:29:50,0
901,SAIA,Standard,999999999993,shipped,2025-08-25 14:51:04,NA Spare Parts,105900,Paccable Corp.,554.11,6498.04,664.93,sender,Outbound,shipped,Pritesh Shah,2025-08-26 00:23:17,0
900,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-25 14:28:28,NA Spare Parts,Unknown,ADAMS CO.,197.16,203.95,236.59,sender,Outbound,shipped,Pritesh Shah,2025-08-26 00:00:24,0
Unknown,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-25 16:02:03,NA Spare Parts,AID1879904350,"Schwartz & Schwartz, PC",212.73,214.88,255.28,sender,Outbound,shipped,Srikanth Bandi,2025-08-25 16:07:35,0
Unknown,BLUE DART,Ground,53452036330,shipped,2025-08-25 16:01:03,CloudLeapIndia,Unknown,Cloudleap,0.0,0.0,0.0,sender,Outbound,shipped,Srikanth Bandi,2025-08-25 16:02:01,0
Unknown,BLUE DART,Domestic Priority,20472016401,shipped,2025-08-25 14:33:37,CloudLeapIndia,Unknown,Cloudleap,0.0,0.0,0.0,sender,Outbound,shipped,Srikanth Bandi,2025-08-25 15:52:56,0
7070-4,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-25 14:29:13,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,196.46,198.44,235.75,sender,Outbound,shipped,Srikanth Bandi,2025-08-25 14:33:36,0
Unknown,Unknown,Unknown,Unknown,draft,2025-08-25 14:27:52,Unknown,Unknown,CloudLeap Software Pvt Ltd.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-08-25 14:27:54,0
800008-2-1,Unknown,Unknown,Unknown,draft,2025-08-25 14:26:48,Unknown,AID672847499,Museum of Illusions Doha,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-08-25 14:26:50,0
800008-3,FedEx,FedEx International Economy,Unknown,draft,2025-08-25 12:26:41,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-08-25 12:26:43,0
800009,UPS,UPS Worldwide Expedited,1ZXXXXXXXXXXXXXXXX,shipped,2025-08-28 12:26:28,NA Spare Parts,AID672847499,Museum of Illusions Doha,597.67,603.71,717.2,sender,Outbound,shipped,Bhavana Musuluri,2025-08-28 12:28:00,0
800010,ABF,Standard,Unknown,draft,2025-08-25 12:19:51,NA Spare Parts,AID672847499,Dental Delights,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-08-25 12:19:56,0
